customer_id,annual_income,loan_amount,credit_score,default_flag,age,gender,education_level,employment_type,join_date,repayment_history,transaction_count,spending_ratio,avg_interest_rate,unemployment_rate,inflation_rate,annual_income_was_missing,join_year,join_month,join_day,join_weekday,education_level_ord,gender_label,region_East,region_North,region_South,region_West,loan_purpose_Business,loan_purpose_Car,loan_purpose_Education,loan_purpose_Home,loan_purpose_Other,income_bin,repayment_bin,credit_score_high,transaction_quantile,transaction_kmeans_bin,age_scaled,annual_income_scaled,loan_amount_scaled,credit_score_scaled,transaction_count_scaled,spending_ratio_scaled,spending_ratio_log,spending_ratio_reciprocal,spending_ratio_sqrt,loan_amount_yj,annual_income_yj,loan_amount_bc,annual_income_bc,debt_to_income_ratio,average_monthly_transactions,spending_to_income_ratio
CUST100000,144336.36,74097.55,708.4,0,43.0,Male,Post-Graduate,Self-Employed,2018-05-07,1,42,29.22,8.9,5.4,4.8,0,2018,5,7,Monday,3.0,1,0,1,0,0,0,0,1,0,0,Q1,Low,1,1,0,0.4287214393879396,-1.046816367316759,-0.6870861036349847,0.744601790338811,-0.41650785199664875,-0.001689977900729476,3.4085039568445934,0.03309066843150232,5.405552700695831,-0.9379835251396648,-2.118228960135199,-0.9379809740459176,-2.1182297501530463,0.513367179274855,7.0,3514.590366
CUST100001,904777.57,294505.38,827.6,0,36.0,Female,Graduate,Salaried,2024-03-02,1,51,31.38,9.5,6.1,5.6,0,2024,3,2,Saturday,2.0,0,1,0,0,0,1,0,0,0,0,Q4,Low,1,3,1,-0.24963526850436998,0.9436875341468948,0.002358906169816792,2.2865951872427237,0.9009373218446709,0.123151070853562,3.477540948249489,0.03088326127239037,5.601785429664367,0.4383393614014973,1.168561434732475,0.4383378860667334,1.16856117784276,0.32550031053488654,8.5,23659.933455499995
CUST100002,658483.02,363769.34,569.9,0,45.0,Male,Graduate,Salaried,2023-09-08,0,54,19.03,8.7,5.0,4.6,0,2023,9,8,Friday,2.0,1,0,0,0,1,0,0,0,1,0,Q4,No_Missed,0,3,3,0.6225376416428852,0.2989956681126555,0.21901950112835067,-1.0470600005268924,1.340085713125111,-0.5906391847554655,2.997231149677727,0.04992511233150274,4.362338822237447,0.6613062176710912,0.6688935952552686,0.6613045431374993,0.6688933939811492,0.552435414355863,9.0,10442.443225500001
CUST100003,1370445.92,1712489.22,743.1,0,55.0,Male,Graduate,Salaried,2019-03-21,2,49,42.45,8.7,5.0,4.6,0,2019,3,21,Thursday,2.0,1,0,0,0,1,0,0,0,1,0,Q4,Low,1,2,1,1.591618652917613,2.162604467203616,4.437872301823002,1.1934874520214103,0.608171727657711,0.762961445719306,3.7716108517114013,0.02301495972382048,6.51536645170477,2.4041753320258397,1.782941309829398,2.4041811240484217,1.7829412792315598,1.2495854050191197,8.166666666666666,48479.52442
CUST100004,318695.41,168674.39,720.0,0,35.0,Male,Secondary,Salaried,2020-08-23,3,43,34.57,9.2,4.8,5.1,0,2020,8,23,Sunday,1.0,1,0,0,1,0,0,0,0,1,0,Q2,Medium,1,1,0,-0.3465433696318428,-0.5904203110318869,-0.391245749954686,0.8946615504401988,-0.2701250549031688,0.3075228048934648,3.571502585960364,0.028113578858588697,5.87962583843564,-0.13399994602362986,-0.5762720805265752,-0.1340000440899513,-0.5762718220540557,0.529265200273829,7.166666666666667,9181.083603083332
CUST100005,198799.56,66866.72,640.7,0,39.0,Male,Secondary,Salaried,2019-04-09,0,41,25.63,9.2,4.8,5.1,0,2019,4,9,Tuesday,1.0,1,0,0,1,0,1,0,0,0,0,Q1,No_Missed,0,1,0,0.041089034878048415,-0.9042554294551782,-0.709704445552542,-0.13117801645980265,-0.5628906490901286,-0.20918042467290834,3.282038399825841,0.03755163349605708,5.062608023538855,-1.0350496666289994,-1.4704558857037393,-1.0350469093730499,-1.4704557780593412,0.3363524547036221,6.833333333333333,4246.027269
CUST100006,764605.59,78100.84,573.1,0,55.0,Female,Graduate,Self-Employed,2024-01-08,0,38,9.78,8.9,5.4,4.8,0,2024,1,8,Monday,2.0,0,0,1,0,0,0,0,0,0,1,Q4,No_Missed,0,0,2,1.591618652917613,0.576778338016026,-0.6745636432791005,-1.0056642046368538,-1.0020390403705686,-1.1252594166893526,2.377692565480851,0.0927643784786642,3.127299154222378,-0.887964516874412,0.9071497395151146,-0.8879620922359337,0.9071494907998467,0.1021452642008542,6.333333333333333,6231.5355585
CUST100007,398940.29,199166.69,600.8,0,39.0,Male,Secondary,Salaried,2024-04-06,1,41,64.42,8.7,5.0,4.6,0,2024,4,6,Saturday,1.0,1,0,0,0,1,0,0,1,0,0,Q2,Low,0,1,0,0.041089034878048415,-0.3803741633323392,-0.2958645465170815,-0.647331846463714,-0.5628906490901286,2.032756742539576,4.180828022110238,0.01528584530724549,8.026207074328447,0.03425848968600163,-0.1747771857688698,0.03425788103431094,-0.17477706332073917,0.4992393473218762,6.833333333333333,21416.444568166662
CUST100008,624991.56,344697.47,596.9,0,33.0,Female,Graduate,Self-Employed,2024-05-02,0,48,28.02,8.7,5.0,4.6,0,2024,5,2,Thursday,2.0,0,0,0,0,1,0,0,1,0,0,Q3,No_Missed,0,2,1,-0.5403595718867884,0.21132961198753594,0.15936188552029384,-0.6977829727046975,0.46178893056423104,-0.07104611609755802,3.367985247456042,0.03445899379738112,5.293392107146419,0.6041375920081982,0.5842539450205836,0.604135947272198,0.5842537679181966,0.5515233997719904,8.0,14593.552926000002
CUST100009,1078361.6,105062.95,786.9,0,44.0,Male,Post-Graduate,Salaried,2020-07-01,0,51,17.86,9.5,6.1,5.6,0,2020,7,1,Wednesday,3.0,1,1,0,0,0,0,0,1,0,0,Q4,No_Missed,1,3,1,0.5256295405154124,1.3980549256074184,-0.5902250233974559,1.7600924082663036,0.9009373218446709,-0.6582614194973735,2.937043277205311,0.053022269353128315,4.226109321823087,-0.602494340716375,1.4334461236667846,-0.6024928102962982,1.4334459170838378,0.09742831161643736,8.5,16049.615146666667
CUST100010,547700.67,130206.92,716.3,0,33.0,Male,Graduate,Unemployed,2019-05-12,0,45,76.53,8.7,5.0,4.6,0,2019,5,12,Sunday,2.0,1,0,0,0,1,0,0,1,0,0,Q3,No_Missed,1,1,0,-0.5403595718867884,0.009015723590301216,-0.5115736222962263,0.8467976614423418,0.022640539283791155,2.732675770509238,4.350664958230868,0.012898232942086934,8.748142660016468,-0.39212919421331366,0.3669044716714339,-0.3921284082057404,0.3669043698513347,0.23773372415264707,7.5,34929.61022925
CUST100011,485053.46,200191.94,719.3,0,33.0,Male,Graduate,Salaried,2022-01-03,1,54,37.3,9.5,6.1,5.6,0,2022,1,3,Monday,2.0,1,1,0,0,0,0,0,0,1,0,Q3,Low,1,3,3,-0.5403595718867884,-0.15496738816243097,-0.29265752117545746,0.8856062200892524,1.340085713125111,0.46530801929124965,3.6454498961866,0.026109660574412535,6.107372593840988,0.03948949082440958,0.16265082279813808,0.03948886746799394,0.16265080340333304,0.412721393637724,9.0,15077.078381666666
CUST100012,502073.36,297919.36,657.0,0,41.0,Male,Graduate,Salaried,2022-11-07,0,34,9.34,9.5,6.1,5.6,0,2022,11,7,Monday,2.0,1,1,0,0,0,1,0,0,0,0,Q3,No_Missed,0,0,2,0.23490523713299402,-0.11041670244601486,0.013037979933091822,0.07968181885507736,-1.5875702287444884,-1.1506900006948564,2.336019869080283,0.09671179883945842,3.056141357987225,0.4504187523934247,0.22106135581039268,0.4504172606972291,0.22106131210313817,0.5933781469703949,5.666666666666667,3907.8043186666664
CUST100013,179784.38,27849.45,631.7,0,18.0,Male,Graduate,Self-Employed,2018-06-07,2,49,34.62,8.9,5.4,4.8,0,2018,6,7,Thursday,2.0,1,0,1,0,0,0,1,0,0,0,Q1,Low,0,2,1,-1.9939810887988803,-0.9540288892299761,-0.8317521155364377,-0.2476036924005343,0.608171727657711,0.3104126439849991,3.5729072778615154,0.028074115665356544,5.88387627334226,-1.8345861838911093,-1.6701798441165434,-1.8345859330005736,-1.6701799202672167,0.15490472531595903,8.166666666666666,5186.779363
CUST100014,813760.21,352948.6,677.0,0,19.0,Male,Secondary,Self-Employed,2018-06-21,1,38,35.07,9.2,4.8,5.1,0,2018,6,21,Thursday,1.0,1,0,0,1,0,0,0,1,0,0,Q4,Low,0,0,2,-1.8970729876714074,0.7054437254231121,0.18517176897021798,0.3384055431678143,-1.0020390403705686,0.33642119580881,3.5854614949154477,0.02772387025228722,5.921992907797172,0.6292221586465117,1.0047627215266604,0.6292204989742216,1.0047624637791681,0.4337255565739691,6.333333333333333,23782.14213725
