match_id,date,team1,team2,venue,toss_winner,toss_decision,innings,batting_team,bowling_team,over,ball,batsman,bowler,runs,extras,total_runs,wicket,player_out,dismissal_type,striker_strike_rate,bowler_economy,match_result,winner
54,2023-05-03,GT,SRH,Chennai,SRH,bat,2,SRH,GT,14,6,Player_86,Player_72,4,0,4,0,None,None,117.14,10.7,win,GT
9,2023-05-04,LSG,DC,Bangalore,LSG,bat,2,DC,LSG,17,1,Player_16,Player_94,3,2,5,0,None,None,83.82,5.9,win,DC
15,2023-04-25,MI,LSG,Mumbai,MI,bat,2,MI,LSG,20,6,Player_25,Player_65,6,2,8,1,Player_51,run out,178.6,11.82,win,LSG
30,2023-05-01,CSK,GT,Bangalore,CSK,bat,2,GT,CSK,3,3,Player_77,Player_61,6,0,6,0,None,None,77.07,10.03,loss,CSK
12,2023-04-19,DC,RCB,Delhi,DC,bat,1,RCB,DC,10,2,Player_98,Player_60,4,0,4,0,None,None,137.13,10.05,win,DC
70,2023-04-20,SRH,DC,Bangalore,DC,bat,1,DC,SRH,15,1,Player_95,Player_21,6,1,7,0,None,None,50.54,5.8,win,DC
34,2023-05-29,RCB,GT,Delhi,RCB,bat,2,RCB,GT,20,4,Player_50,Player_25,5,1,6,0,None,None,101.03,6.0,loss,GT
40,2023-04-25,LSG,GT,Bangalore,GT,field,1,LSG,GT,19,6,Player_62,Player_12,3,2,5,0,None,None,126.12,7.02,loss,GT
14,2023-05-07,GT,RR,Chennai,GT,bat,1,GT,RR,5,4,Player_50,Player_54,6,2,8,0,None,None,63.93,6.55,loss,GT
48,2023-04-05,PBKS,DC,Mumbai,DC,bat,1,PBKS,DC,4,1,Player_74,Player_61,4,0,4,0,None,None,132.11,7.86,loss,PBKS
4,2023-05-29,GT,LSG,Bangalore,GT,bat,1,GT,LSG,14,1,Player_53,Player_29,1,1,2,0,None,None,152.46,8.85,loss,LSG
41,2023-04-02,KKR,MI,Delhi,KKR,field,2,KKR,MI,15,2,Player_81,Player_73,4,1,5,0,None,None,165.3,5.39,loss,MI
15,2023-05-26,SRH,GT,Ahmedabad,SRH,bat,2,SRH,GT,3,6,Player_22,Player_43,6,0,6,0,None,None,68.64,5.89,win,GT
25,2023-05-27,RCB,DC,Bangalore,DC,bat,2,RCB,DC,13,1,Player_52,Player_36,1,0,1,0,None,None,91.34,7.95,loss,DC
59,2023-05-08,KKR,LSG,Delhi,LSG,bat,1,LSG,KKR,20,1,Player_97,Player_9,6,0,6,0,None,None,135.31,5.77,win,LSG
53,2023-04-15,RCB,SRH,Bangalore,SRH,field,2,SRH,RCB,18,6,Player_18,Player_66,4,2,6,1,Player_92,bowled,150.98,11.08,loss,SRH
58,2023-04-10,RR,CSK,Mumbai,RR,field,2,CSK,RR,10,3,Player_68,Player_60,2,1,3,0,None,None,114.54,8.72,loss,CSK
54,2023-04-16,PBKS,LSG,Ahmedabad,LSG,field,1,PBKS,LSG,5,5,Player_9,Player_13,3,1,4,0,None,None,181.99,11.05,loss,PBKS
33,2023-05-24,RR,KKR,Chennai,RR,field,1,KKR,RR,19,1,Player_13,Player_82,0,2,2,0,None,None,131.21,10.2,loss,KKR
51,2023-05-18,PBKS,KKR,Chennai,KKR,field,1,PBKS,KKR,9,2,Player_90,Player_37,0,0,0,0,None,None,94.21,10.59,loss,KKR
10,2023-05-26,KKR,SRH,Ahmedabad,KKR,bat,2,SRH,KKR,2,1,Player_40,Player_20,3,2,5,0,None,None,65.17,8.21,loss,SRH
48,2023-04-14,DC,KKR,Mumbai,DC,field,1,DC,KKR,16,1,Player_40,Player_37,2,0,2,0,None,None,77.13,5.03,win,KKR
54,2023-05-21,PBKS,SRH,Delhi,SRH,bat,2,PBKS,SRH,15,1,Player_42,Player_12,6,0,6,0,None,None,131.75,9.61,loss,SRH
7,2023-04-06,MI,RR,Ahmedabad,RR,field,1,RR,MI,19,2,Player_51,Player_70,5,1,6,0,None,None,133.85,9.93,win,RR
22,2023-04-11,DC,CSK,Chennai,DC,field,2,DC,CSK,20,1,Player_94,Player_84,2,1,3,0,None,None,69.0,9.4,win,DC
7,2023-05-15,PBKS,RCB,Ahmedabad,RCB,field,2,RCB,PBKS,15,4,Player_11,Player_89,1,0,1,0,None,None,75.25,5.14,loss,RCB
48,2023-04-25,KKR,PBKS,Delhi,PBKS,field,2,KKR,PBKS,4,4,Player_16,Player_86,2,0,2,0,None,None,89.78,5.74,loss,KKR
29,2023-04-19,PBKS,KKR,Chennai,PBKS,bat,2,KKR,PBKS,7,2,Player_85,Player_100,1,2,3,0,None,None,151.73,8.32,loss,PBKS
38,2023-04-06,CSK,RR,Ahmedabad,RR,field,1,RR,CSK,3,1,Player_78,Player_54,2,2,4,0,None,None,90.73,8.14,loss,CSK
60,2023-04-29,MI,DC,Bangalore,MI,bat,2,DC,MI,11,6,Player_70,Player_67,5,0,5,0,None,None,194.58,11.45,loss,MI
36,2023-04-10,DC,CSK,Mumbai,CSK,bat,2,DC,CSK,3,4,Player_45,Player_30,5,1,6,0,None,None,85.86,5.16,loss,DC
31,2023-05-03,KKR,PBKS,Ahmedabad,PBKS,field,1,PBKS,KKR,1,4,Player_13,Player_22,0,2,2,0,None,None,63.5,5.97,win,PBKS
53,2023-04-24,MI,CSK,Bangalore,CSK,bat,2,CSK,MI,17,6,Player_15,Player_51,3,1,4,0,None,None,190.35,5.56,win,MI
52,2023-04-04,SRH,PBKS,Chennai,SRH,bat,2,PBKS,SRH,5,6,Player_27,Player_80,2,1,3,0,None,None,63.02,8.75,loss,SRH
54,2023-05-12,CSK,KKR,Delhi,CSK,field,1,KKR,CSK,8,2,Player_51,Player_22,0,2,2,0,None,None,187.64,10.21,win,CSK
41,2023-04-22,LSG,MI,Delhi,MI,bat,2,LSG,MI,8,3,Player_32,Player_79,6,1,7,0,None,None,75.33,11.01,win,MI
70,2023-04-19,LSG,RR,Delhi,LSG,field,2,LSG,RR,6,3,Player_17,Player_54,2,0,2,0,None,None,177.31,9.39,win,LSG
44,2023-05-18,GT,PBKS,Mumbai,PBKS,field,1,GT,PBKS,5,2,Player_88,Player_4,0,1,1,0,None,None,52.02,5.6,loss,GT
28,2023-04-04,CSK,GT,Delhi,GT,field,2,CSK,GT,17,3,Player_85,Player_73,4,2,6,0,None,None,71.57,6.06,loss,CSK
16,2023-04-18,RR,PBKS,Ahmedabad,RR,field,1,RR,PBKS,12,3,Player_75,Player_85,0,2,2,0,None,None,126.07,12.0,loss,RR
38,2023-05-02,MI,PBKS,Delhi,MI,field,2,PBKS,MI,10,2,Player_96,Player_12,0,1,1,0,None,None,193.84,11.8,loss,MI
65,2023-05-28,GT,PBKS,Mumbai,PBKS,bat,1,PBKS,GT,16,2,Player_83,Player_12,4,0,4,0,None,None,73.17,11.98,win,PBKS
66,2023-04-12,KKR,RR,Bangalore,RR,bat,1,RR,KKR,3,6,Player_79,Player_31,4,1,5,1,Player_92,bowled,104.31,9.79,loss,KKR
12,2023-05-17,KKR,GT,Chennai,GT,field,1,KKR,GT,9,5,Player_76,Player_37,6,2,8,1,Player_53,bowled,100.51,10.54,loss,KKR
56,2023-05-25,RCB,GT,Mumbai,RCB,bat,2,RCB,GT,6,2,Player_38,Player_41,3,2,5,0,None,None,112.0,9.74,win,RCB
3,2023-05-08,RCB,MI,Ahmedabad,MI,bat,2,MI,RCB,16,6,Player_51,Player_20,3,1,4,0,None,None,57.28,5.14,win,MI
53,2023-05-13,KKR,PBKS,Ahmedabad,KKR,bat,2,PBKS,KKR,19,1,Player_69,Player_85,6,0,6,0,None,None,96.45,7.41,loss,PBKS
73,2023-05-12,RR,RCB,Delhi,RR,bat,2,RCB,RR,3,6,Player_5,Player_64,1,0,1,0,None,None,51.24,11.71,win,RCB
55,2023-05-11,MI,KKR,Bangalore,KKR,field,1,MI,KKR,14,6,Player_73,Player_64,2,0,2,0,None,None,64.79,10.39,loss,KKR
28,2023-04-23,RCB,RR,Chennai,RR,field,1,RCB,RR,18,5,Player_10,Player_44,1,1,2,0,None,None,160.88,8.29,loss,RR
35,2023-04-12,CSK,RR,Mumbai,CSK,field,1,CSK,RR,1,2,Player_66,Player_7,1,2,3,0,None,None,152.77,7.22,win,CSK
19,2023-05-11,LSG,CSK,Ahmedabad,CSK,bat,2,CSK,LSG,6,1,Player_6,Player_56,5,2,7,0,None,None,70.49,11.36,loss,CSK
69,2023-05-29,RR,RCB,Chennai,RR,field,2,RCB,RR,5,5,Player_91,Player_1,6,1,7,1,Player_76,bowled,169.66,6.15,loss,RCB
39,2023-05-28,CSK,PBKS,Bangalore,CSK,bat,1,PBKS,CSK,15,2,Player_50,Player_16,1,1,2,0,None,None,162.82,7.97,loss,PBKS
36,2023-05-07,DC,MI,Chennai,MI,bat,1,MI,DC,2,6,Player_17,Player_40,3,1,4,0,None,None,184.36,8.85,loss,MI
64,2023-05-16,KKR,GT,Bangalore,KKR,field,1,KKR,GT,2,2,Player_16,Player_27,2,2,4,0,None,None,67.22,10.62,win,KKR
13,2023-04-08,MI,LSG,Delhi,LSG,bat,1,MI,LSG,2,2,Player_60,Player_63,6,0,6,0,None,None,169.65,5.62,loss,MI
37,2023-05-19,PBKS,RCB,Mumbai,PBKS,bat,2,RCB,PBKS,6,5,Player_5,Player_33,0,0,0,0,None,None,158.02,11.45,win,PBKS
62,2023-04-24,RR,MI,Chennai,MI,field,2,RR,MI,13,1,Player_79,Player_18,1,2,3,0,None,None,144.77,11.99,win,MI
62,2023-04-28,RCB,SRH,Bangalore,RCB,bat,1,SRH,RCB,18,1,Player_72,Player_73,3,1,4,0,None,None,150.27,11.31,loss,RCB
24,2023-04-05,PBKS,RR,Ahmedabad,PBKS,bat,2,PBKS,RR,16,2,Player_10,Player_43,3,0,3,1,Player_53,caught,153.43,5.21,loss,RR
